,text
386,Saran bluetooth speaker yang bagus dan murah budget <250k yang ada colokan kabel auxnya juga dong
387,Linus will be proud for that crab song lol
388,Sejauh ini aing masih jatuh sama Simbadda. Maksudnya suara speaker nya cocok dengan telinga gw. Ke 2 sakumi
389,Jbl itu di official storenya yg go 2 bukannya 300 an  yaa bang?
390,"JBL Go2 nya sepertinya KW, di official store JBL'nya saja harganya masih 3,76 rb'an"
391,"Review semua jenis bluetooth speaker JBL (ORI) bang, ok kali ya. Ditunggu..."
392,Wah mantap kali bang David. Jadi tau yang mana bagus
393,Barang2 yg di bilang bagus pasti habis video ini pasti laku keras 
394,"Bang lu harus buat lagu sendiri menurut gua, biar pas lagi test audio gini bisa muterin lagu2 ncr lagi "
395,bang.... review 10 wirelles charger donk.. dr yg murah smpe yg mahal. thnks..
396,"30:50 
David: 200rb kayaknya
Ekbal: 84rb
David: Gk ngerti gw sama yang pasang harga kayak gini

Gila harganya dibawah 100rb wkwk"
397,Bang david buat video rekomendasi dong buat power bank yang worth it sekitar 300k
398,"acome memang mantap dri semua serinya, dan harganya murah"""
399,"Tertarik sih sama kopi hitamnya,,"
400,"Entah kenapa ketika David nebak harga dan harganya lebih murah, si David langsung melunak, itu rasanya kayak kita mewawancarai orang yang ingin masuk kerja, awalnya mewawancarai secara normal tapi setelah tau dia anaknya seseorang, kitA langsung melunak dan kasih dia nilai yang bagus.... 

*Sedikit berbagai pengalaman tentang Vivan S12,
Pada saat awal mencoba yang saya rasakan adalah suara vokal yang terlalu tinggi jadi agak menusuk ditelinga tapi disatu sisi separasi dan detail suaranya bagus dan juga bassnya ngena,  
Namun setelah pemakaian yang cukup lama saya sudah terbiasa dengan vokal yang tinggi, dan sekarang saya cukup menikmati menggunakan speaker nya..."
401,"24:55 Harga eggel fit 3 skrng 270k ke atas, pas direview cuma 159k "
402,"Yang gerak"" itu namanya passive radiator bang, bys dipake untuk speaker portable dibawah 12v"
403,Tolong battle-in gimbal BRICA dan DJI yah bang David 
404,"Kayaknya harus ikut review lgsg . Biar bisa gambarin suara pake gambaran equalizer. Biar viewer bisa lbh paham kualitas output suara yg dihasilkan. 

Karena suara ga cuma 3 jenis. Bass vocal treble. Lbh seru lagi kl ada gambaran grafik EQ pake patoka hZ dan kHz.

Sukses terus ripiw ter jujur"
405,"test yang ini om Dave.   ""Speaker Bluetooth Robot RB450"""
406,Overall lebih rekomended acome a 10 atau eggel fit 3 ya bang?
407,Trima kasih.. akhirnya tau mau beli yang mana..
408,"Bang coba adu sound speaker premium, yang mana yang paling kencang, keras, jernih, dan merdu
Dari = 
• B&W
• Bose
• JBL
• Burmester
• Harman Kardon
• Dolby Atmos
Dll"
409,"Setelah kepilih yg terbaik, barangnya auto langka + mahal "
410,Review Speaker JBL Original bang lain kali kalo lagi gabut 
411,Pasukan team Eggel
412,Review modem yg bisa pakai semua SIM card donk dan bisa dibawa kemana aja
413,JBL GO 2 harga dibawah 200k fix kw. yang ori di official storenya 500ribuan
414,"Saya simpulkan jangan beli speaker dari bukan brand audio, lebih baik beli brand yang sudah pengalaman di bidang audio. 

Dari semua speaker diatas, saya merekomendasikan speaker yang layak untuk dibeli:
2:08 Oontz Angel Solo
22:04 Eggle Fit 3
35:32 JBL GO 2"
415,KOH DAVID TOLONG RIVIEW SPEAKER BLUETOOTH YANG KAUM SULTAN DONG. KAYA SPEAKER BLUETOOTH DARI MERK BOSEE
416,nahhh ini yg ak tunggu .. rekomendasi speaker murah berkualitas josss revieeewnya
417,"Speaker studio monitoring terbaik dengan harga murah masih di pegang oleh ""krk rokit"" disusul oleh ""adam studio"" kemudian ""genelec""."
418,Vivan vs1 gw beli 90k promo umur udah 1 tahunan aman volume gokil bas gokil batre jangan di tanya deh 
419,"Rb150 seperti jam bonus speaker hehe,"
420,"yang JBL jauh banget harganya sama official storenya 370k an

btw saya cek lapaknya belom ada speakernya nih "
421,"Speaker oontz lah the best, langsung beli di gramedia pondok indah mall, klu beli online lama nunggu nya"
422,"""ga ngerti gua sama yg pasang harga"" david mulai kehilangan kepercayaan diri"
423,"Karna bang davit, itu speaker Eggle sold out astaga wkwk"
424,Seminggu yang lalu saya berharap bang david bikin video begini.. dan alhamdulilah
425,robot RB100 itu sangat murah meriah mantap. the best blutut spk under 100k
426,"Bg coba review speaker Bluetooth yg 1- 7 jt , gw penasaran seberapa bagus speaker Apple yg 360"
427,"Acome dan robot itu bisa mode tws, bisa di pair buat kanan kiri"
428,"nonton ini pake vivan vs12, udah cukup sih buat yang suka bass. lebih menang fiturnya, waterproof bisa konek google assistant, usb c connection, micro sd, aux sama TWS kalo punya 2 speaker"
429,Test soundbar sekalian mas david untuk tv
430,iPhone 11 pro sama poco f4 GT enakan mana ya buat nge game? minta saran
431,"Aku curiga JBLNya ga asli. JBl GO, aja suaranya bagus bats dahh.. trus harga barunya ga dpt segitu, kisaran 370 harga resmi toko JBl, disalah satu Marketplace..."
432,"Pengalaman pakai Acome dah hampir 3 thn ,,pokoknya Ajibb  
harga murah ,kualitas mahal ,,"
433,Bang cobain bikin sosial eksperimen dong pasti seruuu kalau versi bang David
434,"48 menit! akhirnya... ada video panjang juga, nyaingin podcast..."
435,Bermanfaat sekali buat yang mau beli
436,"momen kaget 18:30,24:17  
kisonli G1,Eggel boleh juga 
opening Speaker yang disukai Eggel suaranya dipuji 23:42"
437,"Team Eggel, saya pake Terra 3+ dan benar benar mengejutkan"
438,saya dengerin video ini pakai EGGEL FIT 3  the best lah diharga 100 ribuan. latency nya bagus. buat nonton yutub atau film cocok.
439,speaker eggel sama simbadda bagus mana ya?
440,"Mantap2, saya juga sudah riview sebagian dari speaker itu, walaupun views nya gak sebanyak disini "
441,"Robot RS170 cukup bagus om kalo buat spekerdi computer..
Harga di bawah 100
Tp suara ok laa"
442,kalau menurut saya speaker EWA the best bang. Soalnya bass nya mantul 
443,bang review iphone yang di jual murah di e-commerce yang katanya hp kanibalan 
444,27:10 epic moment
445,BANG DAVID BUAT VIDEO TENTANG MEREK MEREK HP ATAU GADGET YANG ASLI DONG
446,"Acome yg ad RGB itu bagus . .
Coba yang merk skullcandy bang.. trus klo merk lain pilih yg 48000Hz ke atas.."
447,MENIT 17:45 saya jual speaker itu laku 50 lebih bang modal isi mp3 sepaket sama memori 4 gb saya jual 150 rb dirumah laku keras lumayang untung tipis :)
448,Selanjutnya butuh rekomendasi microphone wireless or nin wireless dong bang buat rekam suara video terbaik dan harga terjangkau
449,"Bikin konten gini lagi bang ,,tpi yg harga 500rbuan,,kira2 merk apa aja paling bagus swara nya di harga 500rbuan"
450," TETAP YANG DI ENDING YANG JUARA YA  Bose emang mantap, harganya juga mantap sih"
451,harusnya lagu koplo bang biar bisa dinilai bass nya 
452,"Bose emang another level, untuk harga juga far from home wkwkwk"
453,Rojem bluetooth speaker mas..pling puas hti..bassnya mantap..
454,Sudah kirain speaker yang di review bagus pas terakhir langsung di ulti pake Bose yang sebenarnya 
455,"emang mantabbbb ni acome A10, udah punya 1"
456,"Itu JBL KW bang , JBL GO 1 aja msih 300rb, JBL GO 2 msih 500an ribu.. itu cma 190k dikira ori "
457,Ada rekomendasi yang bisa mic juga utk kebutuhan zoom meeting bareng gitu?
458,Bro.. Dibuat range aja.. 0-100rb trus 101rb - 200rb dst.. Biar lebih objective..
459,"udah nebak si, eggel fit 3 kek punya gw, gw dirumah bandingin ama jbl temen gw dan hasilnya bass dari eggel fit 3 lebih kerasa tapi claryty hampir mirip"
460,positif vibe banget ya review yg ini hahahha
461,Gak salah bang itu harga jbl go 2 nya? Kok dulu saya beli diharga 600an lebih ya? Suara nya juga menurut saya sih bagus banget
462,punya yg simbadda tp ya gtulah kocak dalem nya  susah emang yg merk simbadda secara kualitas fisik
463,Bang.. buatin konten riview GAMEPAD dari harga murah sampai harga yang mahal donggg... semoga liat
464,Saya nonton pake speaker Anker Soundcore Motion+ yg baru kebeli 3 hari yg lalu  rela jual eggel terra 3+ demi nambahin fitur Audio HI•Res & aptX 
465,Gue kenal oontz tahunn kemaren karna Gadgetin. Masih bagus ampe sekarang cuma daya tahan batrenya menurun
466,"Kayaknya yang JBL go 2 gak segitu deh harusnya harganya. Di store resmi di shopee dan Tokped setelah diskon aja harganya masih  379.000 , harga aslinya 849.000, Dulu tahun 2018 pernah beli juga JBL go 1 di store resmi ada di harga 450.000 an. Pengalaman pake JBL go enak kok, suaranya bulet dan jernih "
467,"Eggel terbaik pokoknya barang saya semua dari eggel..,"
468,"OotZ : Dari desain & modul, kayaknya ori bikinan pabrik dia.

VYATTA, VIVAN : kayaknya masih rebrand, soalnya gw juga sering nemu produk dengan desain mirip hampir 100% dengan merek yg berbeda.

MITSUYAMA : Kayak produk buatan home industri atau pabrikan kecil. Dengan part import dari China atau bisa jadi rebrand.

Simbadda : Gw rasa semua orang udah kenal merek ini. Khusus merek ini, banyak produknya yang kadang overprice dengan kualitasnya, ibarat gacha klo beli online, mending beli langsung di toko, kecuali kalian udah pernah liat, dengerin & tau seri nya bolehlah, tapi klo modal merek mending jangan.

ROBOT : Sama kayak VYATTA & VIVAN dari segi desain & rebranding, klo suara kayak Simbadda yg sering gacha klo beda seri

Kisonli : Belum pernah nemu, liat & dengar. Tapi dari segi desain kayaknya original pabrikan dia sendiri.

Eggle : sama kayak Kisonli

MKC : kayak MITSUYAMA

ACOME : sama kayak VIVAN, VYATTA, ROBOT, dll. Tapi dari segi branding gw suka liat tokonya di marketplace, berasa mewah desain toko & manjain mata buat belanja.

JBL : No Comment soal kualitas & merek, tapi khusus seri goto, mending enggak.

Youaiyou : Udah ga bisa mikir gw.


Buat gw, juaranya Eggle sih. Tapi klo suka RGB Acome boleh juga

Lainnya skip, gw mau push rank dlu "
469,"Harusnya review pake lagu lokal pride
Biar bas dangdutnya terasa "
470,"Harusnya ada sony sbs xb01. Akh pake ini udah hampir 3 tahun. Suaranya enak dan bassnya mantep, batrenya awet."
471,"Eggel active plus suara OK, battery Kurang dipake baru 6 lagu volume full, dah minta di carger"
472,Klo gua sih pakek aplikasi poweramp pro gk masalah spekernya merek apa karna kalo mau nendang mending rakit sendiri sound system 15inch x 2
473,Eggel Tera 2 harganya 375 luar biasa untuk suaranya
474,Kalo aja gw main di🅳𝗢𝗞𝗨𝟲𝟯𝟯 dari dulu2 mungkin udah kebeli mobil baru sekarang
475,"Bang request yang kemarin soundbar dibikin konten seperti ini, diadu itu soundbar murah nya"
476,"Paling suka Sama Speaker JBL. 

26:40 ini seperti orang yang pengamen-pengamen di jalan sering bawa tuh "
477,"Acome A5 oke lah, sesuai budget."
478,bang bikin konten kaya gni lagi ya soalnya keabisan eggel fit 3:'))
479,Di tunggu acome dan egle nya d jual bang.
480,"FYI, acome sama robot itu 1 distributor pt.wook
Jadi kebanyakan model acome sama robot hampir sama persis..."
481,Entah kenapa gue selalu suka dan nontonin konten gabut lo bang... wkwkwkkw
482,"Bang, coba riviuw Polytron pma dan sejenisnya bang, dari dulu mau nyari spiker sekelas itu tapi bingung"
483,kok saya malah bingung mau beli bluetooth speaker yang mana hahaha
484,"Aku user simbadda. Udh 13 tahun masih awett bgt, fisiknya ga rusak secuil pun. Ga pernah rusak jugaaa. Bassnya masih mantep"
485,"klo mifa a30 masih dibawah 500rb kyknya masuk top 5.. 30w, touch screen ,batre 4000mah"
486,thanks you yaa yang udah kenalin gw sama🅳𝗢𝗞𝗨𝟲𝟯𝟯  
487,Saya suka ngetes speaker pake lagu dangdut biar berasa bassnya
488,"Sakumini juga oke, pembelian sudah 1 tahun yg lalu dan kualitasnya masih boleh banget
Nggak cempreng, bassnya tetep ada"
489,Merk c9 lebih bagus bg.. coba aja dicari dan tolong di review juga bg.. dijamin paling oke bg
490,rekomendasi speaker portable yang bassnya bagus bang
491,Nunggu speaker Venom Baby Gear 
492,bang review antena tv blm pernah kyknya 
493,"Kualitas barang bisa dilihat dr mereknya, kalau mereknya jual macem2 (kabel, casan, casing, speaker, dll pokoknya dijual segala aksesoris) dijamin jelek kualitasnya,, kalo mereknya khusus jual 1 jenis aja, misal jual speaker aja, ya kemungkinan kualitas menengah sampai bagus lah, gk malu2in kualitasnya"
494,"Berharap dapat giveuwey dari abng nya ini. Tiap liat konten"" nya bikin ngiler apa lg klo rivew handpon"
495,Dan harga speaker yg di recomend harganya naik semua
496,Request rekomendasi speaker flat/earphone/headphone buat monitor/mixing
497,"Gw nnton ini pakai iPad Air 2 + Eggel Active 2, mantaap pokokna"
498,"bang david, bahas tws lagi dong"
499,Seru sih kontenya sekalian lumayan buat rekomen
500,"pas banget ini konten
lg nyari mini speaker buat di teras, nemenin sambil ngopi pagi/sore/malem"
501,"Bang, cobaa review lagi rekomendasi Powerbank dong!!! "
502,"Jadi gini, kenapa di bt speaker itu seumpama ada 2 woofer tapi yang bungi cuma 1 biji doang ? Nah sebenarnya yang satu itu bukan woofer melainkan itu adalah passive radiator atau bass radiator, jadi fungsinya sebagai pengganti lubang angin pada speaker konvensional untuk menghasilkan suara berfrekuensi rendah sehingga jangan heran walaupun bentukan woofer nya kecil tetapi kualitas hentakan bass nya hampir serupa dengan speaker yang 2 sampai 3 kali lipat lebih besar, buat yang hobby rakit speaker pasti awam betul dengan passive/bass radiator."
503,Eggel bagus batre tahan lam di rumah sya punya complit bbrapa kali jatoh suaranya masih bagus
504,"JBL GO 2 nya seperti barang KW , gue punya JBL GO suara nya bagus dan bass nye enak , dan harga asli JBL GO 2 di official store 300k++"
505,"Acome 209rb udah mantab. Tapi closing Bosenya membantai sih, walaupun harganya memang puluhan kali lipat."
506,"sayang gak ada anker, penasaran yg soundcore A1 jika direview david, 
punya yg seri A0 suara jernih tp bass kurang soalnya bentuk kcil bgt, walo skrg byk yg lbh murah dr anker tp durabilitas udah terbukti, sampe skrg 2th lebih msh normal batre gak drop"
507,Saya udh bli acome a10 suara mantap
508,Ngerasa seneng banget anjir karena barang yang gue pake (Acome A5) disebut bagus ama bang David wkwk
509,Saya nonton pake eggel fit3 
510,Ada speaker bluetooth eggel rupanya dirumah ada 2 biji sih eggel terra 3+ enak ada fitur TWS nyadibawah 1jt merk eggel salah satu yg rekomended sih
511,"kalau pake ios wajar banget, bluetooth sering patah patah.
apa lagi kalau sinyal wifi lemah."
512,Wah kurang Eggel Tera series dan active series bang. Itu juara juaranya
513,Speaker yg terakhir ecle punyaku bgt. Ternyata ga bagus ya wkwk. Soalnya aku mah beli terserah yg penting kenceng  trus baterai nya awet juga bisa Sampek 10-12 jamm
514,"Terimakasih Telah mengulas Produk kami,  Semoga Sukses Selalu Bro David.."
515,"Bang...sound yg ada micnya itu favorite gw looh..walaupun micnya ala kadarnya, tp pas lu yg beli dan review ini kenapa dapet barang yg busuk bgt ya? Sampe pecah begitu..punya gw lumayan bagus looh harga 90ribuan "
516,"Bg next rekomendasi headset kabel dong bg...
Yg untuk kantong anak kosan"
517,"Tim (Speaker music) merk Music mini speaker,  spek bass, harga 20-35 rb an nyimak bang.  Gak nyari spek bagus, penting bisa buat pikat burung. "
518,"Dari rekomendasinya, Mending eggel atau acome?"
519,"Untuk eggel fit3 harganya pada naik di olshop setelah beberapa hari setelah video ini tayang,"
520,"Padahal LENYES mantep banget dah, dan harganya di bawah 200rb"
521,Keren2 ini baru konten terniat memanjakan subc dan penonton yg takut coba2 :v
522,"Crab rave dibuat ngetes, mantap"
523,Req bang david bahas tempered glas dan casing wkwk
524,"Bang, req review tws high-end dong. Bose, Sennheiser, Akg gitu2 :3"
525,"Jbl sk 100 juga mntp murah mntep pula,cocok bwt q krj proyek"
526,Aku nontonnya malem-malem sambil makan chicken nugget dan minumnya Cimory yogurt drink . Hanya itu saja yang ada
527,"Itu yg kluar terakhir nama merkny ap bang , dn kisaran hargany brp , keren tuh suarany"
528,"Sehat selalu kak GadgetIn, keluarga, dan juga semua team GadgetIn
Di lancarkan rejekinya penuh dg keberkahan2 sukses terus kak GadgetIn"
529,Pas david gebrak meja youtube nya pas bgt lgsg ke pause peringatan waktu nonton 
530,"Bang review gimbal stabilizer hp/kamera dan drone dong yang paling rekomend, Tentu saja dengan harga terjangkau dan kualitas yang paling bagus"
531,"Cuma pernah beli yg murah aja..kalo boleh tw yg d pakai abg buat penutupan video apa nama nya bg, pgn tau.. Suka bgt bg. Cuma mo tw. Pasti harganya mahal ya."
532,"Acome a10 mantab.
Glerr, baterai awet kalo tanpa lampu. Pengecasan cepat."
533,"Bang sy curiga JBL Go 2 nya itu Kw, dari segi harga 100an ga mungkin asli. Review suara nya jg sangat jauh berbeda dengan original nya"
534,"20:15 kisonli ketolong sama boksnya yg gede makanya suaranya bs kenceng dan jelas, sedangkan yg lain pakai speaker 10 watt jg g bakalan sekenceng kisonli, speakernya kayaknya 2x 5 watt + 2x twetter yg kualitas nya low-end, dan power amplifier nya jg mngkn gede makanya baterainya cuma bentar, faktor daya power amplifier nya yg gede jd nyedot baterai banyak. Dan bahannya itu plastik yg dikasih stiker motif kayu, dari ketokannya aja ketauhan banget, kalau kayu harusnya g keras suaranya pas diketok2"
535,"Yah bagus semua diantara tiga..
Vivan.. 275
Acome .. 159
Eagle .. 209"
536,"Bang Cobain Speaker Bluetooth Tecnix B016 dehh, asli enak bgt"
537,"Ko gak Masuk bang SPEAKER EGGEL nya,pdahal itu yg paling jos BASS.
WAH,syang sekali Eggel gak masuk Anboksingnya "
538,di keseluruhan sp bt aku milih acome A10 paling bagus keren mini rgb
539,Semoga produk lokal makin maju mengalahkan dominasi produk Cina
540,"Kw kayanya bang jbl go2 nya,
Coba liat made in mana bang, klw yg Ori made in vietnam sama ada sn di dekat colok chargernya
Saya punya yg ori beli di official jbl, pernah jg kebeli yg kw beda banget suaranya"
541,Speaker blutut paling top yg murah GMC897C  coba butkikan aja under 300 suara nya mantab bisa mic bisa buat speaker acara ibu ibu  arisan  d rumah
542,"Itu yang di sebut bang david kalo mau beli yang murah,itu nama speakernya apa???"
543,"Saya rasa itu jbl yg kw, dilihat dari nada bluetooth dan harganya. Jbl go 2 diharga 350rb."
544,Link Tokped untuk JBL-nya KW bang!! 
545,bang review proyektor mini buat di kamar 
546,"Acome A1 70rebuan, kokoh dan gurih"
547,Kebetulan emang lagi nyari bluetooth speaker buat nemenin kerjha shift malem di pt...
548,jbl nya tu kw bang . jbl ori aja kemarin pas diskon 50% aja udah 200 an bang. harga asli nya di kisaran 390+ bang kalau jbl . ini dari pengalaman gua pengguna jbl yah bang.  tpi saran untuk skrng eggel no counter sih . 
549,"13:22 Buset ada Bee Gees, elit bener stasiun radionya"
550,Apa cuma gue yg penasaran dengan judul musik yg dipake bang david???
551,Lain waktu bikin video kyk gini versi smartwatch bang
552,Ekspresi lu saat review speaker bagus kaya ekspresi ku saat makan makanan enak
553,Request coba jaringan 5g diberbagai tempat bang
554,jbl go2 klo ori masih 400 ke atas bang. itu OEM alias china/clone
555,"Orang kaya mah bebas, give away dong bang "
556,"Maaf bang David telat 3 minggu hhehe. 
Ngomong² klo boleh tau baju nya beli dimana bang David? Soalnya saya pecinta Game Monster Hunters :D"
557,"Langsung cek online shop, kok harganya gak sama ya bang, apa jadi naek.."
558,Memang panjang bang sy nontonnya ampe ketiduran dan di lanjut paginya lagi hahaha
559,Waaah habis diupload harga Acome dan Eggel yg jd pemenang naik 2x lipat..g jd beli aja wes 
560,"Selanjutnya review banyak powerbank, lalu banyak holder hp dan holder hp di mobil"
561,JBL nya kayaknya KW deh Om. Harga yg asli sekarang masih di atas 300an. Dulu awal2 di atas 400an. Suaranya cukup oke kok kalo yg asli.
562,"kak, nanya dong 3 lagu yang dipakek ngetes judulnya apa aja? makasiii"
563,"Bluetooth speaker yg trbaik menurut sya sih masih MIFA, selain suaranya ngebass parah harganya keren pula, krn ad kabel jek nya jg buat main real drum, tp syng nya kabel jek nya kurang panjang,"
564,Ternyata harga gak bisa jadi pedoman 
565,Kapan-kapan bahas hape dibawah 300.000 donk!! 
566,"Bang,itu spiker yng paling gede tadi,pake batre apa d colok langsung k stop kontaknya,apa pake cesan,klo ngcas,dmna buat tempat ngcasnya,soalnya aku liat ko g ada vasilitas buat ngcas/nyolokinya,"
567,eggel fit 3 langsung habis dimana mana & kalo ada harganya udah 2x lipat 
568,David denger lagu sambil goyang kepala bakal jadi meme kayaknya 
569,Rekomendasi converter usb c to jack audio samsung A33 5G bang.
570,"Kalo saya pernah pake robot RB550 lumayan kuat 2 tahun, bass lumayan walaupun ukuran kecil. Cuma skrg port USB nya rusak"
571,Cas speaker bluetooth ini brp lama bg?
572,eggel di shopee sold out
573,bang daviiiid review mouse yang banyak yang rangenya 100k-2000k dong bang
574,"Walau acome capsul bagus, tapi kaya nya bass nya lebih dalem eggel ya"
575,"Maaf bang revisi untuk produk JBL yg abang review kemungkinan produk KW2, karena klo ori penutup chatger karet tebal dan padat, textur tulisan JBL rapi dibagian depan dan tdak ada slot sdcard. serta ada serial number dibagian penutup port. dan dalam kemasan ada kartu garansi asli JBL serta banyak kitab2nya dan untuk harganya jbl ori sekitar 350rb an sngat beda jauh dr harga yg direview 190an dan terakhir saya cek 159an.soalnya sya pake kbl go2 udah 2 tahunandan itu sangat memuaskan meski ulangkali jatuh sampai udah lecet2 semua tp fungsi tetap seperti baru. mengingat JBL go2 ini banyak kw sehingga saya rasa sangat tidak adil jk menilai suatu brand dr produk yg tdak original. terimkasih sukses selalu. semoga bang david baca"
576,"Tetap Eggel Terbaik di range Harga yg sama

Saya punya hampir 90% produk Eggel

Coba se andainya ada terra 3 mini. Jamin kaget david"
577,Tim speaker zelloat dari 2018 masih awet sampe skarang
578,"Nice ulasan marathonnya~

Next marathon lagi tapi untuk device Earphone/Headphone ya~ thanks."
579,Merk lenyes tuh lumayan sii buat speaker bluetooth
580,"Kak ... Untuk Lagu² Yg di pakek test Sound, judul nya apa aja? Bagus² semua kak "
581,penasaran sama 3 lagu yg dipake buat test speakernya
582,"kalo mau beli Eggel yang ada di video ini, jangan lewat link di atas, soalnya sellernya ghoib. dichat gak bales-bales, akhirnya pemesanan dibatalkan hahahha soalnya saya salah satu yang ngalamin"
583,36:46 biasa nya speaker jbl bisa di rendam air kalo ORI
584,"Speaker murah2 biasany pas baru beli bagus aja dengernya coba volume max, gak lama karetnya jebol semberr"
585,Paling top se-Indonesia disini (David) klo sdh suhu yg bicara dr segalanya pasti ok
586,"Mau cari speaker murah bang ,Daytona VDR bisa cuma harga 270an saja anda mendapat power 300+300watt"
587,"#WE_ARE_TEAM_EGGEL
"
588,The best menurut Bang Dapid Eggle 159k dan Acome A10 209k
589,"Speaker blutooth lenovo kak 90 rb an, sama simbada yg tabung 300 an dan tabung advance tlgn di riview"
590,klo mode radio itu usb nya di pasang bang biar dapet sinyal nya
591,"gan mau nanya
kalau tws eggle bagus apa engga?"
592,2000W itu kekuatan suaranya bang david… bukan penggunaan listriknya…
593,"punya speaker 2.1, tdk ada port usb hanya kabel jack 3.5, apakah bisa dipasang alat buetooht receiver agar bisa dibuetooth dari hp atau ipod ? recom beli buetooth receiver apa rakitan modelu mp3 playare plus buetooth ?"
594,"Yang paham aja gw mau tanya speker bloutut yng standar kecil yang suaranya bass nya mantep buat stel dangdut karakter suara low terasa dut nya kedengeran & tentu yng baterainya awet, kira"" yng mna ya, harga di bawah 300rb aja"
595,Saya senang lihat review ginian
596,"Ka... Rekomendasi speaker buat pembelajaran di kelas, budget 200k ka "
597,Coba merk LENYES bang..recomended di 140k ️
598,"JBL yg terbaik.
Harga di bawah 300rebu ️
Ane Uda beli dari dulu sampe skrng masih awet"
599,"Saya punya Acome A2, A3 n A5. Speaker Bluetooth murah tp tidak murahan"
600,"bang david, tolong review alat perangkap nyamuk elektrik, dong."
601,Kasih hasil suaranya dong bang di channel satunya kayak tahun lalu
602,"Menurut gua, Acome adalah brand yang sangat worth to buy produknya, awet dan murah"
603,"penutupan nya bener"" penghabisan eh, turun langsung raja nya harga jutaan , jauh sekali perbedaan nya "
604,"Bang klo bluetooth speaker harman kardon gmn bang..?
Ada 3 dirumah harman kardon onyx 4, onyx 6 sama aura 3"
605,"BANG BIKIN VIDIO REKOMENDASI STAND WIRELESS CHARGE DONG, BELUM ADA KAYANYA"
606,"gila acome a5 langsung abis di tokped sama shopee, dan harganya gak sama kaya yg di atas"
607,"Untuk pelajaran listening di kelas, yg streao entry level dan yang harganya gak mahal yg mana ya bang? Maunya yg bisa kedengaran sampai ke seluruh 25 murid dalam satu kelas"
608,"simbadda cst N800 boleh coba tuh bang, saya udah pakai 3 tahun lebih dan gada yang bisa gantiin wkwk."
609,"Punya saya vivan V12 waterproof. Jadi andelan pergi kemanapun. Udah 2 tahunan pake. Mantep suaranya, dan karena saya suka yang bassnya mantap.  Btw aku beli ini karena rekomendasi dari bang wasa wirman setelah nonton videonya, langsung deh beli. "
610,Lebih enak acome A10 atau eggle??
611,Bang ada ga link Shopee nya bekas barang review.?
612,Gw kayaknya tetep prefer Altec Lansing deh.. dari 2007 gw selalu pake Altec Lansing udah cocok soalnya
613,"Speaker bagus di akhir video tuh,,, beli di mna bang David suara bass bagus banget"
614,Video dengan jumlah ekspresi david yang paling beragam wkwkw
615,"vivan bisa jadi stereo bang, 2 speaket jadi 1"
616,Eggel skrng harganya 260rbu paling murah.. BNGSDDD!!!
617,"saya pengguna JBL GO yang versi pertama sejak 2-3 tahun lalu, harga 100rb-an, cukup puas dengan harga dan ukurannya, sudah kepikian mau upgrade ke JBL GO 2 sejak lama, tapi setelah lihat merk2 lain, kok... malah jauh bagusan ACOME/EGGEL ya, baik secara harga dan kualitas suara

btw, JBL GO 2 di official store harganya 300rb-an loh, jangan2 david beli yang KW?"
618,gara2 gedgetin eggle fit 3 jadi langka dan naik harga
619,Penasaran kalo Eggel Active di versus in sama Acome yg High keknya tetep Eggrl deh yg best
620,"Bang david makin ganteng aja kalo sendirian,tolong jwb dari sekian banyak speaker mana yg terbaik trs produk apa "
621,"Ada yg mirip Mifa F7+ ngak sih? Harga nya dulu beli 585rb, skrg udh hilang dr pasaran, apa ada lawan nya ?"
622,bang.  gantian speaker aktif yang bagus buat karokean bang
623,Kelemahan speker bloetooth kalau sering full volume batrai boros n bass pecah..lama kelamaan harus smbil di cas
624,"Borong murah untuk nentuin yg terbaik?

Ada harga ada rupa bang jangan lupa. Kecuali yang terlalu pede akan overprice, dan merk yg sdh nangkring duluan di atas"
625,"Speaker mantap dan gak mahal2 amat ya harman kardon, kalau ada duitnya"
626,gw malah tertarik sma yg bose hahahah
627,saran enakan ambil eggel terra 3 mini atau eggel active 2 ya
628,"Eggel fit 3 setelah video ini upload, harga nya langsung di goreng sma penjual jdi 200an - 300an"
629,Moment plg ngakak si emg 40:53 gk ad obat 
630,"Mantap bang David. Kapan-kapan ganti ""20 tws"""
631,"Mitsuyama punya ku juga adaa
Lumayan bagus"
632,Untuk speaker sendiri bisa di test dengan lagu yang berbasis dj elektronik bass dsb bisa dijadikan pacuan kualitas itu saja saran saya.
633,"Buset 20 spiker bluetooth, minta satu Napa bang"
634,Finally bukan lagu NCS.. wkwkwk sukaaaaaaa
635,Untung ada NCS jadi bisa review speaker
636,Mantaaap bang... Saya beli speaker bltt yg ga ada di review bang david
637,"awal dilarang bini maen slot, pas gue maen di🅳𝗢𝗞𝗨𝟲𝟯𝟯 bini langsung dokem, iyalah dokem tiap minggu cuan ngalir terus boss...saik pisan euy "
638,Yang paling bagus dari harga kurang dari 200 rb apa ya ?
639,"Bentuk dari speaker juga mempengaruhi suaranya, misal coba speaker ditatapkan ke tembok (jangan semua, deket jarak 2-cm) aku jamin suaranya bakal beda"
640,"lanjut speaker bluetooth yg berkabel (tanpa batre) bang...
 masih langka untuk kisaran dibwah 200"
641,Acome a10 d shopee udh pada habis dan harga naik
